Z	Element	K	L1	L2	L3	M1	M2	M3	M4	M5
75	Re	42.1	6.1800	5.48	5.04	1.00	1.00	1.00	1.00	1.00
76	Os	44.4	7.2500	5.59	5.16	1.00	1.00	1.00	1.00	1.00
77	Ir	46.8	8.3000	5.69	5.25	1.00	1.00	1.00	1.00	1.00
78	Pt	49.3	9.3900	5.86	5.31	1.00	1.00	1.00	1.00	1.00
79	Au	52.0	10.500	6.00	5.41	1.00	1.00	1.00	1.00	1.00
80	Hg	54.6	11.300	6.17	5.50	1.00	1.00	1.00	1.00	1.00
81	Ti	57.4	12.000	6.32	5.65	1.00	1.00	1.00	1.00	1.00
82	Pb	60.4	12.200	6.48	5.81	1.00	1.00	1.00	1.00	1.00
83	Bi	63.4	12.400	6.67	5.98	1.00	1.00	1.00	1.00	1.00
84	Po	66.6	12.600	6.83	6.13	1.00	1.00	1.00	1.00	1.00
85	At	69.0	12.800	7.01	6.29	1.00	1.00	1.00	1.00	1.00
86	Ra	73.3	13.100	7.20	6.41	1.00	1.00	1.00	1.00	1.00
87	Fr	76.8	13.300	7.47	6.65	1.00	1.00	1.00	1.00	1.00
88	Ra	80.4	13.400	7.68	6.82	1.00	1.00	1.00	1.00	1.00
89	Ac	84.1	13.600	7.95	6.98	1.00	1.00	1.00	1.00	1.00
90	Th	88.0	13.700	8.18	7.13	1.00	1.00	1.00	1.00	1.00
91	Pa	91.9	14.300	8.75	7.33	1.00	1.00	1.00	1.00	1.00
92	U	96.1	14.000	9.32	7.43	1.00	1.00	1.00	1.00	1.00
